,State,First Place,Second Place,Third Place,Fourth Place,Fifth Place
3,Alaska,Ninja,Monster,Wonder Woman,Clown,Rabbit
4,Alabama,Wonder Woman,Harley Quinn,Mouse,Superhero,Clown
5,Arkansas,Clown,Harley Quinn,Unicorn,Pirate,Wonder Woman
6,Arizona,Wonder Woman,Clown,Moana,Rabbit,Unicorn
7,California,Wonder Woman,Clown,Unicorn,Harley Quinn,Rabbit
8,Colorado,Wonder Woman,Harley Quinn,Rabbit,Dinosaur,Unicorn
9,Connecticut,Wonder Woman,Rabbit,Witch,Unicorn,Zombie
10,District of Columbia,Harley Quinn,Wonder Woman,Zombie,Clown,Unicorn
11,Delaware,IT,Harley Quinn,Monster,Clown,Mouse
12,Florida,Wonder Woman,Harley Quinn,Moana,Clown,Unicorn
13,Georgia,Harley Quinn,Wonder Woman,Clown,Rabbit,Unicorn
14,Hawaii,Wonder Woman,Doll,Dinosaur,Princess Jasmine,Moana
15,Iowa,Wonder Woman,Clown,Harley Quinn,Unicorn,Ninja
16,Idaho,Rabbit,Wonder Woman,Dinosaur,Mouse,Unicorn
17,Illinois,Wonder Woman,Harley Quinn,Clown,Unicorn,Dinosaur
18,Indiana,Dinosaur,Harley Quinn,Clown,Wonder Woman,Witch
19,Kansas,Wonder Woman,Clown,Harley Quinn,Pirate,Witch
20,Kentucky,Clown,Wonder Woman,Harley Quinn,Zombie,Belle
21,Louisiana,Wonder Woman,Witch,Harley Quinn,Clown,Rabbit
22,Massachusetts,Wonder Woman,Rabbit,Unicorn,Zombie,Harley Quinn
23,Maryland,Wonder Woman,Harley Quinn,Unicorn,Rabbit,Pirate
24,Maine,Superhero,Witch,Batman,Skeleton,Rabbit
25,Michigan,Wonder Woman,Harley Quinn,Clown,Unicorn,Rabbit
26,Minnesota,Zombie,Harley Quinn,Unicorn,Wonder Woman,Rabbit
27,Missouri,Clown,Wonder Woman,Witch,Harley Quinn,Unicorn
28,Mississippi,Mouse,Clown,Harley Quinn,Cheerleader,Wonder Woman
29,Montana,Dinosaur,Harley Quinn,Zombie,Vikings,IT
30,North Carolina,Wonder Woman,Harley Quinn,Unicorn,Clown,Pirate
31,North Dakota,Unicorn,Chicken,Batman,Lion,IT
32,Nebraska,Wonder Woman,Clown,Harley Quinn,Unicorn,Superhero
33,New Hampshire,Rabbit,Harley Quinn,Clown,Star Wars,Dinosaur
34,New Jersey,Wonder Woman,Harley Quinn,Unicorn,Rabbit,Zombie
35,New Mexico,Harley Quinn,Clown,Unicorn,Chucky,Doll
36,Nevada,Wonder Woman,Clown,Harley Quinn,Chucky,Mouse
37,New York,Wonder Woman,Clown,Harley Quinn,Unicorn,Rabbit
38,Ohio,Harley Quinn,Wonder Woman,Clown,Witch,Unicorn
39,Oklahoma,Wonder Woman,Harley Quinn,Clown,Zombie,Witch
40,Oregon,Unicorn,Witch,Wonder Woman,Dinosaur,Mouse
41,Pennsylvania,Harley Quinn,Wonder Woman,Clown,Zombie,Unicorn
42,Rhode Island,Witch,Wonder Woman,Chicken,Zombie,Unicorn
43,South Carolina,Harley Quinn,Wonder Woman,Clown,Pirate,Rabbit
44,South Dakota,Witch,Clown,Scary Clown,Unicorn,Princess
45,Tennessee,Wonder Woman,Harley Quinn,Clown,Witch,Mouse
46,Texas,Wonder Woman,Harley Quinn,Clown,Unicorn,Moana
47,Utah,Witch,Wonder Woman,Pirate,Clown,Dinosaur
48,Virginia,Wonder Woman,Harley Quinn,Rabbit,Clown,Princess
49,Vermont,Catwoman,Dinosaur,The Wizard of Oz,Rabbit,Unicorn
50,Washington,Wonder Woman,Dinosaur,Harley Quinn,Witch,Unicorn
51,Wisconsin,Zombie,Pirate,Dinosaur,Wonder Woman,Unicorn
52,West Virginia,Clown,Harley Quinn,Doll,Witch,Zombie
53,Wyoming,Joker,Starbucks,Clown,Queen of Hearts,Dinosaur
